sub,run,regressor,VIF
2,20,Scene Perception,2.0393666180376684
2,20,Face WM,1.6922892236621425
2,20,Scene WM,1.7421899965482313
2,21,Face Perception,2.183949256697564
2,21,Scene Perception,1.9686483570839193
2,21,Face WM,2.0062573449996273
2,21,Scene WM,1.7543931896737204
2,22,Face Perception,2.05577636288781
2,22,Scene Perception,2.0992109839279087
2,22,Face WM,1.8096089819520056
2,22,Scene WM,1.6933347848986209
2,23,Face Perception,2.1672459691798682
2,23,Scene Perception,2.2302200438766833
2,23,Face WM,1.987072069219039
2,23,Scene WM,1.9191122033403496
2,24,Face Perception,1.9395722596905434
2,24,Scene Perception,2.180781563892494
2,24,Face WM,1.7412585161917062
2,24,Scene WM,1.9439096557245465
2,25,Face Perception,2.267321309916724
2,25,Scene Perception,2.1835798072119514
2,25,Face WM,1.8440485368509383
2,25,Scene WM,1.903647181728835
2,26,Face Perception,2.304815359951836
2,26,Scene Perception,2.252728266163724
2,26,Face WM,2.0473970320551667
2,26,Scene WM,2.100128244039694
2,27,Face Perception,2.523613504544459
2,27,Scene Perception,2.278091136721969
2,27,Face WM,2.1468132226853855
2,27,Scene WM,2.0721392136878065
2,28,Face Perception,2.490572129515458
2,28,Scene Perception,2.026933174349828
2,28,Face WM,2.300370921807184
2,28,Scene WM,1.713369335675908
2,29,Face Perception,2.1324527483634714
2,29,Scene Perception,2.280436210237785
2,29,Face WM,1.7618678216652186
2,29,Scene WM,2.0214823051779875
2,30,Face Perception,2.11078160362926
2,30,Scene Perception,2.5301120223681206
2,30,Face WM,2.0293103851536896
2,30,Scene WM,2.0183378110828385
2,31,Face Perception,2.235896223359479
2,31,Scene Perception,2.1027379723469455
2,31,Face WM,2.0099049459840033
2,31,Scene WM,1.8571758197131385
2,32,Face Perception,2.199718799416213
2,32,Scene Perception,1.9871873379775475
2,32,Face WM,1.9820658858964386
2,32,Scene WM,1.7219683223343107
3,1,Face Perception,2.3008630427838357
3,1,Scene Perception,2.0616154874143264
3,1,Face WM,1.9220779953666736
3,1,Scene WM,1.9134109277990277
3,2,Face Perception,2.2741265665822663
3,2,Scene Perception,2.1636976737977878
3,2,Face WM,2.040063447101997
3,2,Scene WM,2.108627873054518
3,3,Face Perception,2.115577336423382
3,3,Scene Perception,2.069232245052824
3,3,Face WM,2.117868373010925
3,3,Scene WM,1.7035439962564798
3,4,Face Perception,2.218107567514362
3,4,Scene Perception,2.157413283943286
3,4,Face WM,1.9254052755357791
3,4,Scene WM,1.9204880614444695
3,5,Face Perception,1.9174168753501721
3,5,Scene Perception,2.375842685647171
3,5,Face WM,1.7719781537475114
3,5,Scene WM,2.0961101405686438
3,6,Face Perception,1.9010943602822046
3,6,Scene Perception,2.055157404233699
3,6,Face WM,1.6471826955117137
3,6,Scene WM,1.717072909269299
3,7,Face Perception,1.9537099947934673
3,7,Scene Perception,2.0533709366528483
3,7,Face WM,1.715507075847246
3,7,Scene WM,1.9545974458312712
3,8,Face Perception,1.9715084584462246
3,8,Scene Perception,2.419953738940268
3,8,Face WM,1.6591074049927361
3,8,Scene WM,1.9499048625253104
4,1,Face Perception,2.5198909252402966
4,1,Scene Perception,2.1313864923318935
4,1,Face WM,2.0985939398518543
4,1,Scene WM,1.7658565082201605
4,2,Face Perception,2.1966794756719503
4,2,Scene Perception,2.163093706979177
4,2,Face WM,1.81852732453744
4,2,Scene WM,1.9404985572617561
4,3,Face Perception,2.213709318750207
4,3,Scene Perception,2.0850736766051843
4,3,Face WM,1.907084731170727
4,3,Scene WM,1.725267447281653
4,4,Face Perception,2.13572875169999
4,4,Scene Perception,2.0209631265659658
4,4,Face WM,1.7649922082188343
4,4,Scene WM,1.7642236921822292
4,5,Face Perception,2.062001728884807
4,5,Scene Perception,2.119185948990381
4,5,Face WM,1.815375883344138
4,5,Scene WM,1.9222166434459815
4,6,Face Perception,2.0249930396851443
4,6,Scene Perception,2.0742356385144674
4,6,Face WM,1.8314284857337897
4,6,Scene WM,1.7575173520203615
4,7,Face Perception,2.3097774513202025
4,7,Scene Perception,2.081702347473803
4,7,Face WM,2.013486484048823
4,7,Scene WM,1.8819738003019297
4,8,Face Perception,2.3393694122872324
4,8,Scene Perception,2.481181760814859
4,8,Face WM,1.8591567880274742
4,8,Scene WM,2.3212287214472713
4,9,Face Perception,2.1314119293064664
4,9,Scene Perception,2.0507876977658657
4,9,Face WM,1.7920835671727107
4,9,Scene WM,1.6687124022298534
4,10,Face Perception,2.155032628128095
4,10,Scene Perception,1.9598614507956176
4,10,Face WM,1.9797828941377866
4,10,Scene WM,1.662187335824313
4,11,Face Perception,2.149707550077786
4,11,Scene Perception,2.0293467508336507
4,11,Face WM,2.102549616048385
4,11,Scene WM,1.818637563609617
4,12,Face Perception,2.154490277841358
4,12,Scene Perception,2.0296056278128685
4,12,Face WM,1.8470673822203338
4,12,Scene WM,1.6740315472639993
4,13,Face Perception,2.3270297183271875
4,13,Scene Perception,2.6741995474659586
4,13,Face WM,1.9665923485869352
4,13,Scene WM,2.0218033637027806
4,14,Face Perception,1.9487021791074235
4,14,Scene Perception,2.1648216719641526
4,14,Face WM,1.7561715941648037
4,14,Scene WM,2.0027649728500667
4,15,Face Perception,1.97535043488496
4,15,Scene Perception,2.1939047275843993
4,15,Face WM,1.7347586364019894
4,15,Scene WM,1.8316602969903986
4,16,Face Perception,2.066827879971919
4,16,Scene Perception,2.107857314007618
4,16,Face WM,1.8379496071967152
4,16,Scene WM,1.7441657680710199
4,17,Face Perception,1.952914593416488
4,17,Scene Perception,2.1462342204378513
4,17,Face WM,1.853555545131617
4,17,Scene WM,1.9355548861124912
4,18,Face Perception,2.1224468846883675
4,18,Scene Perception,2.229070030501572
4,18,Face WM,1.753222962824922
4,18,Scene WM,1.9461392920451726
4,19,Face Perception,2.1159552825982026
4,19,Scene Perception,1.9664775058511006
4,19,Face WM,1.6717815866690215
4,19,Scene WM,1.8282569358956444
4,20,Face Perception,2.018106794443892
4,20,Scene Perception,2.4100389404553852
4,20,Face WM,1.6703477678959955
4,20,Scene WM,1.9640456883609259
4,21,Face Perception,1.9786439112092298
4,21,Scene Perception,2.0648746351872735
4,21,Face WM,1.837775606450095
4,21,Scene WM,2.094951721463488
4,22,Face Perception,2.238676900917465
4,22,Scene Perception,1.9678953710095328
4,22,Face WM,1.950796326800221
4,22,Scene WM,1.7473544478838652
4,23,Face Perception,2.2500118573428254
4,23,Scene Perception,2.064339130174456
4,23,Face WM,2.129303943643626
4,23,Scene WM,1.6551533556686782
4,24,Face Perception,2.270892101719179
4,24,Scene Perception,2.18286489627241
4,24,Face WM,2.1569824718159927
4,24,Scene WM,1.8073021756496255
4,25,Face Perception,2.1284028651429168
4,25,Scene Perception,2.139956021544482
4,25,Face WM,1.6835744536826154
4,25,Scene WM,1.8775995502184601
4,26,Face Perception,1.9690977219380867
4,26,Scene Perception,2.019517913457893
4,26,Face WM,1.8012387805063266
4,26,Scene WM,1.7905823154779934
4,27,Face Perception,2.026996182112623
4,27,Scene Perception,1.9901823867029245
4,27,Face WM,1.7347147854175802
4,27,Scene WM,1.6792494156409783
4,28,Face Perception,2.0449800568797416
4,28,Scene Perception,2.0920977123023015
4,28,Face WM,1.7861493616313286
4,28,Scene WM,1.794904161793403
4,29,Face Perception,2.13643490133532
4,29,Scene Perception,2.419450509443227
4,29,Face WM,2.0348556926074624
4,29,Scene WM,1.889241924483329
4,30,Face Perception,2.068905185876482
4,30,Scene Perception,2.335977818084898
4,30,Face WM,1.8492091889356965
4,30,Scene WM,1.9522634634271105
4,31,Face Perception,1.9732452537406096
4,31,Scene Perception,2.058928558529033
4,31,Face WM,1.8047936203571748
4,31,Scene WM,2.1567675756603477
4,32,Face Perception,1.9820974690990998
4,32,Scene Perception,2.045939290113106
4,32,Face WM,1.7296341272677804
4,32,Scene WM,1.7651524673785257
5,1,Face Perception,2.0743568767352136
5,1,Scene Perception,2.033217555912225
5,1,Face WM,1.8542656995250473
5,1,Scene WM,1.8623290628063165
5,2,Face Perception,2.036469909755578
5,2,Scene Perception,1.9672877428004556
5,2,Face WM,1.7184281677031545
5,2,Scene WM,1.730261750333325
5,3,Face Perception,2.120372559588079
5,3,Scene Perception,2.072603886157676
5,3,Face WM,1.8917654437835285
5,3,Scene WM,1.7057906983451905
5,4,Face Perception,2.1591867254820576
5,4,Scene Perception,2.143221002499071
5,4,Face WM,1.8077577155845905
5,4,Scene WM,1.773731107923113
5,5,Face Perception,2.306098046099866
5,5,Scene Perception,2.0431340148472787
5,5,Face WM,1.9253063438276072
5,5,Scene WM,1.705651092930022
5,6,Face Perception,2.020231259959101
5,6,Scene Perception,2.268954636638189
5,6,Face WM,1.695674926591209
5,6,Scene WM,1.9098225547561898
5,7,Face Perception,1.9951839632382042
5,7,Scene Perception,2.1369453078175495
5,7,Face WM,1.652092824724968
5,7,Scene WM,1.8668531794830845
5,8,Face Perception,1.98652270111758
5,8,Scene Perception,2.1348474195976515
5,8,Face WM,1.6449911191424826
5,8,Scene WM,1.8571230429743757
